Barcode,Call Number,Title,Author,Year,Edition,ISBN,Publication,Publisher,Collection Code,Physical Description,Note Area,Price
HS01364,FIC H399s 2004 c.4,The Scarlet letter,"Hawthorne, Nathaniel",2004,,9780743487566,New York,Simon & SchusterPaperbacks,FIC,372p.; 18cm,,
HS01365,FIC H855 2011,Addie on the inside,"Howe, James",3856,,9781416913856,New York,Atheneum Books,FIC,206p.; 2cm,,
HS01366,FIC H814 2003,31 songs,"Hornby, Nick",3862,,9780141013862,London,Penguin Books,FIC,242p.; 19cm,,
HS01367,FIC ET75 2014,Wickedpedia,"Etten, Chris Van",5873,,9780545415873,New York,Point Horror,FIC,220p.; 21cm,,
HS01368,FIC H217c 2007,The camel bookmobile,"Hamilton, Masha",3486,,9780061173486,New York,HarperCollins Publisher,FIC,308p.; 22cm,,
HS01369,FIC J661 2004,Taking the wrap,"Johnson, Dolores",5468,,373265468,New York,A Worldwide Mystery,FIC,267p.; 17cm,,
HS01370,FIC H268 2001,Tess of the D'Urbervilles,"Hardy, Thomas",5899,,486415899,New York,"Dover publications, Inc.",FIC,"xiii, 321p.; 21cm",,
HS01371,FIC L72 1993,The giver,"Lowry, Lois",7688,,9780440237688,New York,Dell Laurel-Leaf,FIC,179p.; 18cm,,
HS01372,FIC L8471 1979,The call of the wild,"London, Jack",2814,,81242814,,The Perfection Form Company,FIC,122p.; 18cm,,
HS01373,FIC L4771 2016,What things mean,"Lee, Sophia N.",0546,,9789810940546,New York,"Scholastic, Inc.",FIC,133p.; 19cm,,
HS01374,FIC L4771 2016 c.1,What things mean,"Lee, Sophia N.",2016,,9789810940546,New York,"Scholastic, Inc.",FIC,133p.; 19cm,,
HS01375,FIC 823.92 S973p 2005,Q & A,"Swarup, Vikas",7489,,9780743267489,New York,Scribner,FIC,318p. ; 21 cm.,,
HS01376,FIC J611 1997 c.1,Red scarFIL girl,"Jiang, Ji Li",1997,,439063000,New York,"Scholastic, Inc.",FIC,285p.; 20cm,,
HS01377,FIC H399,The house of the seven gables,"Hawthorne, Nathaniel",,,14204005418,New York,Baronet Books,FIC,240p.: ill.; 21cm,,
HS01378,FIC C6234 1983,Dear Mr. Henshaw,"Cearly, Beverly",7270,,9780590687270,New York,"Scholastic, Inc.",FIC,133p.: ill.; 20cm,,
HS01379,FIC T969a 2013,The adventures of Huckleberry Finn,"Twain, Mark",1039,,9780007351039,London,Harper Press,FIC,"vii, 306p.; 18cm",,
HS01381,FIC L6664 2007,21 proms,"Levithan, David (editor)",8679,,9780545798679,New York,"Scholastic, Inc.",FIC,298p.; 21cm,,
HS01382,FIC S33 2005,Nicky Deuce: welcome to the family,"Schirripa, Steven R.",2570,,385732570,New York,Delacorre Press,FIC,167p.; 22cm,,
HS01383,FIC S69 2010,After ever after,"Sonnenblick, Jordan",2872,,9780545722872,New York,"Scholastic, Inc.",FIC,260p.; 21cm,,
HS01384,FIC SU531 2000,Moments of Grace,"Sullivan, Nancy Jo",3471,,9789718573471,,Acts 29 Publishing,FIC,190p.; 22cm,,
HS01385,FIC G6527 2003,Naked empire,"Goodkind, Terry",4300,,765344300,New York,A Tom Doherty Associates Book,FIC,736p.; 18cm,,
HS01386,FIC F399t 2009,Travel writing,"Ferry, Peter",4361,,9780151014361,Boston,Mariner Books,FIC,294p.; 21cm,,
HS01387,FIC K265 1978,Mystery of crocodile island,"Keene, Carolyn",5556,,448095556,New York,Putnam & Grosset Group,FIC,180p.; 20cm,,
HS01388,FIC T969a 2013 c.1,The adventures of Huckleberry Finn,"Twain, Mark",2013,,9780007351039,London,Harper Press,FIC,"vii, 306p.; 18cm",,
HS01389,FIC T969 1999,The adventures of Tom Sawyer,"Twain, Mark",9404,,439099404,New York,"Scholastic, inc.",FIC,319p.; 17cm,,
HS01390,FIC 821.1 C496c 2011,The cantebury tales,"Chaucer, Geoffrey",9446,,9780007449446,London,Collin Classics,FIC,"ix, 610p. ; 18 cm.",,
HS01391,FIC 847.3 D886c 2003,The count of monte cristo,"Dumas, Alexandre",3504,,553213504,New York,Bantam Dell,FIC,531p. ; 18 cm.,,
HS01392,FIC 847.3 D886t 2011,The three muskeeters,"Dumas, Alexandre",2156,,9780007902156,London,Collin Classics,FIC,"viii, 830p. ; 18 cm.",,
HS01393,FIC 813.3 M531m 2013,Moby Dick,"Melville, Herman",5568,,97800007925568,London,Collin Classics,FIC,"vii, 618p. ; 18 cm.",,
HS01394,FIC 847.3 D886t 2011 c.1.,The three muskeeters,"Dumas, Alexandre",2156,,9780007902156,London,Collin Classics,FIC,"viii, 830p. ; 18 cm.",,
HS01395,FIC 813.6 D5335 2010,Bijou Roy,"Dhar, Ronica",2167,,9781250002167,New York,St. Martin's Griffin,FIC,245p. ; 21 cm.,,
HS01396,FIC 853.914 C1397 1992,IFIL on a winter's night a traveller,"Calvino, Italo",9236,,749399236,London,Minerva,FIC,258p. ; 20 cm.,,
HS01397,FIC S447 2000,Me talk pretty one day,"Sedaris, David",7218,,9780316777218,New York,"Little, Brown and Company",FIC,253p.; 18cm,,
HS01398,FIC L666e 2012,Everyday,"Levithan, David",1894,,9780307931894,New York,Ember,FIC,324p.; 21cm,,
HS01399,FIC R448 2015,Library of souls,"Riggs, Ransom",8400,,9781594748400,,Quirk Books,FIC,458p.; 21cm,,
HS01400,FIC H6451 2012,Department nineteen,"Hill, Will",4450,,9781159514450,New York,Penguin Group,FIC,540p.; 21cm,,
HS01401,FIC G76w 2003,The wind in the willows,"Grahame, Kenneth",2453,,9780007832453,London,HarperCollins Publishers Ltd.,FIC,249p.; 20cm,,
HS01402,FIC S8197 1992,The pearl,"Steinbeck, John",7374,,9780140177374,London,Penguin Books,FIC,90p.; 20cm,,
HS01403,FIC S8197 1992 c.1,The pearl,"Steinbeck, John",1992,,9780140177374,London,Penguin Books,FIC,90p.; 20cm,,
HS01404,FIC S8197 1992 c.2,The pearl,"Steinbeck, John",1992,,9780140177374,London,Penguin Books,FIC,90p.; 20cm,,
HS01405,FIC S8197 1992 c.3,The pearl,"Steinbeck, John",1992,,9780140177374,London,Penguin Books,FIC,90p.; 20cm,,
HS01406,FIC G8201 2008,Paper towns,"Green, John",8188,,9780525478188,New York,Penguin Group,FIC,305p.; 21cm,,
HS01407,FIC 813.6 D5451 2003,The tale of Despereaux,"Dicamillo, Kate",8529,,9781406368529,Great Britain,Walker Books Ltd,FIC,267p. : ill. ; 20 cm,,
HS01408,FIC 808.06 P639 1999,Captain underpants and the attack of the talking toilets,"Pilkey, Dav",9320,,9780545599320,,"Scholastic, Inc.",FIC,[137p.] : col. ill. ; 22 cm.,,
HS01409,FIC 823.92 B9851 2017,The less you know the sounder you sleep,"Butler, Juliet",3795,,9780008203795,London,4th Estate,FIC,436p. ; 20 cm.,,
HS01410,GC 575 E361 1957,The immense journey,"Eiseley, Loren",95-7,,978-0-14-312095-7,New York,"Random House, Inc.",GC,"xvii, 152p. ; 21 cm.",,
HS01411,FIC M235b 2011,The borrower,"Makkai, Rebecca",95-7,,978-0-14-312095-7,New York,Penguin Group,FIC,324p,,
HS01412,FIC L926s 2015,Sophomores and other oxymorons,"Lubar, David",2015,,,New York,Penguin Group,FIC,417p,,
HS01414,FIC K56 2004,Shoppahollic and sister,"Kinsella, Sophie",,,,New York,Bantam Dell,FIC,9780440241911,,
HS01415,FIC M434 2014,Since you've been gone,"Matson, Morgan",,,,New York,Simon and Schuster,FIC,9781442435018,,
HS01416,FIC M214 1999,Chinese Cinderella: the true story of unwanted daughter,"Mah, Adeline Yen",,,,New York,"Random House, Inc.",FIC,,,
HS01417,FIC G795 2006,An abundance of Katherines,"Green, John",,,,New York,Penguin Group,FIC,,,
HS01418,FIC M7661 2001,Anne oF Green Gables,"Montgomery, L.M.",2001,,,New York,"Scholastic, Inc.",FIC,9780439295772,,
HS01419,FIC M7661 1995,Anne of Green Gables,"Montgomery, L.M.; adapted by Eliza Gatewood Warren, illustrations by Joseph Millares",1995,,,"New York, New York",Baronet Books,FIC,236p: illustrations; 22 cm,,
HS01420,FIC 813.6 R795 2013,Fangirl,"Rowell, Rainbow",,,,New York,St. Martin's Griffin,FIC,438p. ; 21 cm.,,
HS01421,FIC D472 2012,Keeping the moon,"Dessen, Sarah",1767,,9780142401767,New York,Penguin Group,FIC,228p. ; 21 cm.,,
